Producto_Detalles_Vistos,Cantidad_Actividades_Sesión,Cantidad_Artículos_En_Carro,Cantidad_Artículos_Eliminados_Carro,Cantidad_Visitas_Carro,Confirmaciones_Compra,Inicios_Pago,Vistas_Productos_Carro,Inicios_Sesión_Cliente,Vistas_Páginas,Segmento_Cliente,Abandono_Carro
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,16,0,0,1,0,1,1,0,6,Cliente Objetivo,Si
Si,4,1,0,0,0,1,1,0,1,Cliente Objetivo,Si
No,22,0,0,0,0,0,5,0,8,Cliente Objetivo,Si
No,13,6,0,2,0,1,1,0,3,Cliente Leal,Si
No,8,0,0,7,0,0,1,0,0,Cliente Objetivo,Si
No,17,7,3,2,0,1,1,0,2,Cliente No Segmentado,Si
No,7,1,0,2,0,1,0,0,3,Cliente Objetivo,Si
No,4,0,0,1,0,0,1,0,2,Cliente Objetivo,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,22,8,0,3,0,1,8,0,1,Cliente Leal,Si
No,8,3,0,1,0,0,2,0,1,Cliente Leal,Si
Si,5,2,0,0,0,0,2,0,1,Cliente Objetivo,Si
No,41,2,0,2,0,0,2,0,5,Cliente Objetivo,Si
Si,9,0,0,0,0,0,3,0,2,Cliente Objetivo,Si
No,9,3,0,1,0,0,1,0,3,Cliente Leal,Si
No,14,6,0,2,1,1,1,1,2,Cliente Leal,No
No,11,6,0,0,0,0,3,0,1,Cliente Leal,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,11,4,0,0,0,1,4,0,1,Cliente Leal,Si
No,3,0,0,1,0,0,2,0,0,Cliente Objetivo,Si
No,8,4,0,1,0,0,1,0,2,Cliente Leal,Si
No,10,1,0,1,0,1,3,0,4,Cliente Objetivo,Si
No,6,5,0,1,0,1,3,0,0,Cliente Leal,Si
No,2,0,0,0,1,1,0,0,0,Cliente Objetivo,No
No,11,4,0,0,1,1,1,1,2,Cliente Leal,No
No,7,0,0,1,0,1,1,0,2,Cliente Objetivo,Si
No,2,0,0,0,0,1,1,0,0,Cliente Objetivo,Si
No,7,0,0,2,0,1,4,0,0,Cliente Objetivo,Si
No,12,3,0,1,0,1,5,0,2,Cliente Leal,Si
No,12,4,0,1,1,1,0,1,4,Cliente Leal,No
No,4,0,0,1,0,0,2,0,1,Cliente Objetivo,Si
No,5,0,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,37,0,0,3,0,5,2,0,6,Cliente Objetivo,Si
Si,7,2,0,1,0,0,0,0,3,Cliente Objetivo,Si
Si,13,8,0,1,0,0,0,0,3,Cliente Leal,Si
No,5,1,0,0,0,1,3,0,0,Cliente Objetivo,Si
No,6,1,0,1,0,2,0,0,2,Cliente Objetivo,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,19,7,0,3,0,1,1,1,6,Cliente Leal,Si
Si,11,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,21,9,0,0,0,0,5,0,0,Cliente Leal,Si
No,6,1,1,1,0,1,0,0,2,Cliente Objetivo,Si
No,9,0,0,0,0,0,1,0,3,Cliente Objetivo,Si
No,58,7,0,1,1,1,0,0,1,Cliente Leal,No
No,4,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
Si,11,6,0,1,0,1,1,0,2,Cliente Leal,Si
No,24,11,8,4,0,0,0,0,1,Cliente No Segmentado,Si
Si,7,2,0,1,0,0,2,0,0,Cliente Objetivo,Si
No,12,8,0,0,0,1,3,0,0,Cliente Leal,Si
No,7,2,0,0,0,1,3,0,1,Cliente Objetivo,Si
No,20,3,0,5,0,0,3,0,6,Cliente Leal,Si
No,20,4,3,1,1,1,3,1,4,Cliente No Segmentado,No
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,10,4,0,1,0,1,1,0,3,Cliente Leal,Si
Si,11,9,0,0,0,0,1,0,1,Cliente Leal,Si
Si,9,1,0,0,0,0,4,0,2,Cliente Objetivo,Si
No,17,3,1,1,1,1,0,1,2,Cliente Leal,No
No,22,4,0,5,0,4,4,0,5,Cliente Leal,Si
Si,46,6,0,8,0,3,27,0,1,Cliente Leal,Si
Si,7,2,2,2,0,0,0,0,1,Cliente No Segmentado,Si
No,28,4,0,0,2,4,13,0,0,Cliente Leal,No
Si,5,2,0,1,0,0,2,0,0,Cliente Objetivo,Si
No,15,4,0,0,0,1,5,0,0,Cliente Leal,Si
No,5,0,0,1,0,0,1,0,2,Cliente Objetivo,Si
No,9,2,2,2,0,1,0,0,2,Cliente No Segmentado,Si
No,10,2,0,1,1,2,1,1,2,Cliente Objetivo,No
Si,4,1,0,1,0,1,0,0,1,Cliente Objetivo,Si
No,6,1,0,1,0,1,2,0,1,Cliente Objetivo,Si
Si,7,4,0,0,0,0,0,0,3,Cliente Leal,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
Si,4,1,0,0,0,1,2,0,0,Cliente Objetivo,Si
No,8,0,0,4,0,0,4,0,0,Cliente Objetivo,Si
Si,17,5,0,1,0,0,7,0,0,Cliente Leal,Si
Si,9,1,2,2,0,1,0,1,0,Cliente Objetivo,Si
No,11,1,0,3,0,1,4,0,0,Cliente Objetivo,Si
Si,5,1,0,0,0,1,3,0,0,Cliente Objetivo,Si
Si,4,1,0,1,0,0,0,0,2,Cliente Objetivo,Si
No,10,5,0,0,0,1,1,1,2,Cliente Leal,Si
No,9,1,0,0,1,2,2,0,2,Cliente Objetivo,No
No,4,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,22,5,2,3,0,3,3,0,4,Cliente No Segmentado,Si
No,24,5,0,5,0,2,10,0,0,Cliente Leal,Si
No,8,3,0,0,1,1,1,1,1,Cliente Leal,No
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
Si,4,0,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,12,1,0,5,0,2,0,1,3,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,23,9,12,0,0,0,0,0,1,Cliente No Segmentado,Si
No,13,0,0,0,0,5,8,0,0,Cliente Objetivo,Si
No,38,3,0,1,0,1,0,1,3,Cliente Leal,Si
No,15,6,0,1,0,1,5,0,2,Cliente Leal,Si
Si,4,1,1,0,0,0,0,0,1,Cliente Objetivo,Si
Si,4,1,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,16,4,0,5,0,2,2,1,2,Cliente Leal,Si
No,17,5,0,2,1,1,0,1,1,Cliente Leal,No
No,11,3,0,1,1,1,0,1,1,Cliente Leal,No
No,16,2,0,2,1,4,7,0,0,Cliente Objetivo,No
Si,11,2,0,1,0,0,7,0,1,Cliente Objetivo,Si
Si,51,10,0,3,0,2,8,1,17,Cliente Leal,Si
Si,16,9,2,2,0,0,2,0,1,Cliente No Segmentado,Si
No,24,10,3,4,1,2,4,0,0,Cliente No Segmentado,Si
Si,11,1,4,2,0,1,1,0,0,Cliente No Segmentado,Si
No,10,2,0,1,0,0,5,0,0,Cliente Objetivo,Si
Si,6,4,0,1,0,0,0,0,1,Cliente Leal,Si
No,10,3,0,3,0,1,2,0,1,Cliente Leal,Si
No,18,0,0,4,0,0,1,0,5,Cliente Objetivo,Si
No,37,5,21,1,0,0,4,0,3,Cliente No Segmentado,Si
No,39,9,4,1,1,1,6,1,14,Cliente No Segmentado,No
No,8,3,0,1,0,0,2,0,1,Cliente Leal,Si
Si,14,0,0,1,0,2,3,0,1,Cliente Objetivo,Si
Si,10,4,2,0,0,0,2,0,1,Cliente No Segmentado,Si
No,7,0,0,0,1,1,1,0,1,Cliente Objetivo,No
No,4,0,0,1,0,0,1,0,2,Cliente Objetivo,Si
No,97,9,0,0,1,1,0,0,2,Cliente Leal,No
Si,8,6,0,0,0,0,1,0,1,Cliente Leal,Si
No,12,7,0,1,0,1,1,0,2,Cliente Leal,Si
No,4,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,6,0,0,0,0,0,1,0,4,Cliente Objetivo,Si
No,3,0,0,0,0,1,1,0,1,Cliente Objetivo,Si
No,7,2,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,11,3,0,0,0,0,1,0,3,Cliente Leal,Si
Si,3,1,0,0,0,0,0,0,1,Cliente Objetivo,Si
No,8,3,2,0,1,1,1,0,0,Cliente No Segmentado,No
No,24,1,0,7,1,3,9,0,1,Cliente Objetivo,No
No,4,1,0,2,0,0,1,0,0,Cliente Objetivo,Si
Si,49,10,0,4,0,1,29,0,1,Cliente Leal,Si
No,34,1,0,1,0,0,1,0,5,Cliente Objetivo,Si
Si,25,11,11,1,0,0,1,0,1,Cliente No Segmentado,Si
No,44,1,0,3,0,0,13,0,1,Cliente Objetivo,Si
No,12,5,0,0,0,1,1,0,2,Cliente Leal,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,3,0,0,1,0,0,2,0,0,Cliente Objetivo,Si
No,14,0,0,1,1,1,2,0,8,Cliente Objetivo,No
No,3,0,0,2,0,0,0,0,1,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,4,1,0,0,0,1,2,0,0,Cliente Objetivo,Si
No,2,0,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,19,0,0,2,0,0,2,0,1,Cliente Objetivo,Si
No,35,0,0,1,0,3,1,0,6,Cliente Objetivo,Si
Si,9,5,1,0,0,0,1,0,0,Cliente Leal,Si
No,10,3,2,1,0,0,1,0,3,Cliente No Segmentado,Si
No,13,9,0,1,0,1,2,0,0,Cliente Leal,Si
Si,14,2,1,0,0,2,2,1,3,Cliente Objetivo,Si
No,7,2,2,1,0,0,1,0,1,Cliente No Segmentado,Si
No,16,0,0,1,0,3,8,0,2,Cliente Objetivo,Si
Si,11,6,1,2,0,0,0,0,2,Cliente Leal,Si
No,10,6,0,0,0,1,1,0,2,Cliente Leal,Si
No,21,3,9,2,1,2,1,1,1,Cliente No Segmentado,Si
No,2,0,0,0,0,1,1,0,0,Cliente Objetivo,Si
Si,19,2,1,4,1,3,0,0,8,Cliente Objetivo,Si
Si,13,5,0,3,0,0,1,0,3,Cliente Leal,Si
No,10,2,0,1,2,1,0,1,3,Cliente Objetivo,No
No,25,11,0,0,1,1,4,1,4,Cliente Leal,No
Si,22,2,3,6,0,0,3,0,7,Cliente No Segmentado,Si
Si,9,1,1,0,0,1,0,0,6,Cliente Objetivo,Si
No,6,1,0,0,0,1,0,1,3,Cliente Objetivo,Si
No,1,7,0,2,0,0,6,0,1,Cliente Leal,Si
Si,5,1,1,1,0,0,1,0,1,Cliente Objetivo,Si
No,22,6,1,2,4,1,1,1,3,Cliente Leal,No
Si,3,1,0,0,0,0,1,0,1,Cliente Objetivo,Si
Si,13,6,0,0,0,0,1,0,1,Cliente Leal,Si
No,6,1,0,1,0,1,1,0,2,Cliente Objetivo,Si
Si,11,1,0,3,0,1,0,0,6,Cliente Objetivo,Si
No,6,1,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,16,8,0,1,0,1,2,0,3,Cliente Leal,Si
Si,12,3,5,1,0,0,2,0,1,Cliente No Segmentado,Si
No,19,1,0,1,0,0,1,0,15,Cliente Objetivo,Si
No,5,1,0,0,1,1,1,1,0,Cliente Objetivo,No
No,16,2,1,4,1,3,0,1,4,Cliente Objetivo,No
No,12,2,0,0,0,0,3,0,5,Cliente Objetivo,Si
No,1,0,0,1,0,0,0,0,0,Cliente Objetivo,Si
Si,12,2,0,0,0,1,4,1,3,Cliente Objetivo,Si
No,5,0,0,0,0,2,3,0,0,Cliente Objetivo,Si
Si,6,2,0,0,0,1,2,0,1,Cliente Objetivo,Si
Si,10,0,0,0,0,0,2,0,6,Cliente Objetivo,Si
Si,6,3,0,0,0,0,1,0,1,Cliente Leal,Si
Si,5,0,0,1,1,3,0,0,0,Cliente Objetivo,No
No,6,1,0,1,0,1,0,1,2,Cliente Objetivo,Si
No,6,0,0,1,0,0,1,0,1,Cliente Objetivo,Si
No,10,5,0,0,0,1,1,0,3,Cliente Leal,Si
No,24,9,0,1,1,1,4,1,3,Cliente Leal,No
No,15,6,1,2,1,1,1,1,1,Cliente Leal,No
No,11,4,0,0,1,2,0,1,2,Cliente Leal,No
No,6,1,0,1,0,1,0,0,3,Cliente Objetivo,Si
No,3,0,0,1,0,1,0,0,1,Cliente Objetivo,Si
No,41,2,25,1,1,4,1,2,5,Cliente No Segmentado,No
No,5,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,7,1,0,0,1,1,1,1,1,Cliente Objetivo,No
No,5,1,0,3,0,0,0,0,1,Cliente Objetivo,Si
No,3,0,0,1,0,0,1,0,1,Cliente Objetivo,Si
No,13,5,0,1,0,0,2,0,3,Cliente Leal,Si
Si,9,5,0,0,0,0,1,0,1,Cliente Leal,Si
Si,9,2,0,1,0,1,1,0,3,Cliente Objetivo,Si
No,11,2,1,0,0,0,2,0,3,Cliente Objetivo,Si
Si,19,11,0,2,0,1,4,0,0,Cliente Leal,Si
Si,5,1,0,1,0,0,3,0,0,Cliente Objetivo,Si
No,5,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,17,10,0,1,0,0,4,0,0,Cliente Leal,Si
No,25,8,6,5,0,0,2,0,4,Cliente No Segmentado,Si
No,7,0,0,0,0,0,1,0,2,Cliente Objetivo,Si
No,18,5,0,3,0,2,0,0,6,Cliente Leal,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,9,0,0,0,1,1,1,0,3,Cliente Objetivo,No
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,5,2,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,10,3,0,1,0,0,0,0,3,Cliente Leal,Si
No,6,0,0,0,0,2,3,0,1,Cliente Objetivo,Si
No,8,0,0,0,0,1,2,0,5,Cliente Objetivo,Si
No,1,0,0,1,0,0,0,0,0,Cliente Objetivo,Si
No,16,5,0,3,0,0,5,0,0,Cliente Leal,Si
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
No,10,2,2,3,0,1,0,0,2,Cliente No Segmentado,Si
No,13,0,0,1,3,1,0,0,3,Cliente Objetivo,No
No,8,0,0,0,0,4,3,0,1,Cliente Objetivo,Si
No,8,3,0,1,0,1,1,0,2,Cliente Leal,Si
No,8,4,0,0,1,1,0,1,1,Cliente Leal,No
No,17,4,0,1,0,1,6,0,5,Cliente Leal,Si
No,5,0,0,1,1,1,1,0,0,Cliente Objetivo,No
Si,4,1,0,0,0,0,0,0,2,Cliente Objetivo,Si
Si,4,0,0,0,0,0,1,0,1,Cliente Objetivo,Si
Si,14,6,1,1,0,0,1,0,3,Cliente Leal,Si
No,6,2,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,10,1,0,2,1,2,0,1,3,Cliente Objetivo,No
No,6,1,0,2,0,1,0,0,2,Cliente Objetivo,Si
Si,3,0,1,0,0,0,1,0,1,Cliente Objetivo,Si
No,9,1,0,3,0,1,2,0,1,Cliente Objetivo,Si
No,9,0,0,0,1,1,1,0,2,Cliente Objetivo,No
No,8,1,0,2,0,2,0,0,3,Cliente Objetivo,Si
No,12,5,0,0,0,0,0,0,5,Cliente Leal,Si
No,8,1,0,1,0,0,1,0,2,Cliente Objetivo,Si
Si,11,4,4,0,0,0,1,0,1,Cliente No Segmentado,Si
No,8,0,0,3,0,1,2,0,1,Cliente Objetivo,Si
No,10,0,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,20,9,1,1,2,1,1,1,1,Cliente Leal,No
No,8,0,0,1,0,0,1,0,4,Cliente Objetivo,Si
Si,24,0,0,0,0,0,3,0,5,Cliente Objetivo,Si
No,8,0,0,0,0,0,2,0,1,Cliente Objetivo,Si
No,9,3,0,1,0,1,1,0,3,Cliente Leal,Si
Si,7,3,0,1,0,0,2,0,0,Cliente Leal,Si
No,20,8,2,2,0,0,2,0,3,Cliente No Segmentado,Si
No,8,1,0,2,0,1,2,0,2,Cliente Objetivo,Si
No,8,5,0,0,0,1,1,0,1,Cliente Leal,Si
No,19,6,0,4,0,1,1,0,1,Cliente Leal,Si
Si,8,5,0,0,0,0,1,0,1,Cliente Leal,Si
Si,6,2,0,0,0,1,0,0,2,Cliente Objetivo,Si
Si,2,1,0,0,0,0,0,0,1,Cliente Objetivo,Si
No,14,3,0,4,1,2,4,0,0,Cliente Leal,No
Si,6,1,0,0,0,1,1,1,2,Cliente Objetivo,Si
No,6,0,0,0,0,1,5,0,0,Cliente Objetivo,Si
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
No,8,2,0,2,0,1,1,0,2,Cliente Objetivo,Si
No,9,1,0,1,1,1,1,1,3,Cliente Objetivo,No
No,7,1,0,3,0,1,0,1,0,Cliente Objetivo,Si
No,4,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,4,0,0,1,0,1,0,1,1,Cliente Objetivo,Si
No,4,0,0,1,0,1,0,1,1,Cliente Objetivo,Si
No,13,2,0,2,1,2,1,1,2,Cliente Objetivo,Si
No,9,1,0,0,0,1,4,0,1,Cliente Objetivo,Si
No,10,1,0,2,0,1,1,1,4,Cliente Objetivo,Si
No,14,3,0,0,0,1,0,1,9,Cliente Leal,Si
No,17,6,1,2,0,1,2,0,4,Cliente Leal,Si
Si,36,7,21,1,0,0,1,0,5,Cliente No Segmentado,Si
No,8,0,0,1,0,1,6,0,0,Cliente Objetivo,Si
No,3,0,0,1,0,0,0,0,2,Cliente Objetivo,Si
Si,12,4,0,0,0,2,1,0,5,Cliente Leal,Si
Si,18,4,0,0,1,2,7,0,0,Cliente Leal,No
No,54,1,0,1,0,2,46,0,0,Cliente Objetivo,Si
No,10,3,0,1,0,0,1,0,3,Cliente Leal,Si
No,1,0,0,0,0,1,0,0,0,Cliente Objetivo,Si
Si,4,1,0,1,0,0,1,0,1,Cliente Objetivo,Si
Si,13,3,0,0,0,0,1,0,6,Cliente Leal,Si
No,27,1,0,2,1,3,0,1,17,Cliente Objetivo,Si
No,21,3,1,4,0,6,2,1,2,Cliente Leal,Si
Si,13,4,4,0,0,0,1,0,1,Cliente No Segmentado,Si
No,9,1,0,0,0,2,4,1,1,Cliente Objetivo,Si
No,31,5,0,1,1,1,0,0,6,Cliente Leal,Si
No,48,5,0,13,1,4,8,0,2,Cliente Leal,No
Si,6,1,0,0,0,1,4,0,0,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,5,2,0,0,0,0,1,0,2,Cliente Objetivo,Si
No,23,0,0,8,5,5,4,0,1,Cliente Objetivo,No
No,16,4,0,0,2,1,3,1,3,Cliente Leal,No
No,12,2,3,1,0,1,0,1,3,Cliente No Segmentado,Si
Si,5,1,0,0,0,1,3,0,0,Cliente Objetivo,Si
Si,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
Si,19,0,1,1,0,0,2,0,7,Cliente Objetivo,Si
Si,9,1,0,0,0,0,7,0,1,Cliente Objetivo,Si
Si,6,0,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
Si,4,1,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,5,0,0,1,0,0,2,0,2,Cliente Objetivo,Si
No,12,1,0,0,0,2,1,0,0,Cliente Objetivo,Si
Si,19,9,1,3,0,0,3,0,1,Cliente Leal,Si
Si,8,3,0,0,0,1,1,0,2,Cliente Leal,Si
No,17,0,0,1,1,2,0,0,3,Cliente Objetivo,No
No,8,3,0,1,0,1,3,0,0,Cliente Leal,Si
No,3,0,0,0,0,1,0,0,2,Cliente Objetivo,Si
No,8,1,0,0,1,2,1,2,1,Cliente Objetivo,Si
Si,8,6,0,0,0,0,1,0,0,Cliente Leal,Si
No,19,7,3,1,1,2,1,1,1,Cliente No Segmentado,No
No,8,4,0,0,0,1,1,0,2,Cliente Leal,Si
Si,5,4,0,0,0,0,1,0,0,Cliente Leal,Si
No,3,1,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,4,1,0,1,0,1,0,0,0,Cliente Objetivo,Si
No,8,4,0,0,0,1,1,0,2,Cliente Leal,Si
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
Si,3,0,0,0,0,2,0,0,1,Cliente Objetivo,Si
Si,3,1,0,0,0,0,0,0,1,Cliente Objetivo,Si
Si,8,3,0,2,0,1,0,1,1,Cliente Leal,Si
No,12,4,1,2,0,2,0,1,2,Cliente Leal,Si
Si,7,5,0,0,0,0,0,0,2,Cliente Leal,Si
No,8,2,0,1,1,1,1,1,1,Cliente Objetivo,No
No,13,8,0,1,0,1,2,0,1,Cliente Leal,Si
No,12,5,1,1,0,1,2,0,2,Cliente Leal,Si
No,32,11,0,3,0,2,13,0,0,Cliente Leal,Si
No,6,1,0,0,0,1,3,0,1,Cliente Objetivo,Si
No,6,1,0,0,0,2,1,0,2,Cliente Objetivo,Si
Si,8,4,0,1,0,0,1,0,1,Cliente Leal,Si
No,16,7,0,1,0,1,5,0,0,Cliente Leal,Si
No,15,7,0,2,0,1,1,1,2,Cliente Leal,Si
No,9,3,0,1,0,1,1,1,2,Cliente Leal,Si
Si,22,0,0,0,0,0,1,0,3,Cliente Objetivo,Si
No,7,1,0,0,0,1,5,0,0,Cliente Objetivo,Si
No,3,0,0,2,0,0,0,0,1,Cliente Objetivo,Si
No,5,1,0,0,0,1,1,0,2,Cliente Objetivo,Si
Si,38,10,3,0,0,0,7,0,9,Cliente No Segmentado,Si
No,13,6,0,1,0,0,3,0,1,Cliente Leal,Si
No,4,1,0,0,0,1,0,0,2,Cliente Objetivo,Si
No,12,7,0,1,0,1,1,0,2,Cliente Leal,Si
No,5,1,0,0,0,1,1,0,2,Cliente Objetivo,Si
No,7,3,0,0,0,1,2,0,1,Cliente Leal,Si
Si,6,1,1,1,0,1,0,0,2,Cliente Objetivo,Si
No,11,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,4,1,0,0,0,0,1,0,1,Cliente Objetivo,Si
No,4,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,17,1,2,0,0,2,0,0,12,Cliente Objetivo,Si
No,7,1,0,2,1,3,0,0,0,Cliente Objetivo,No
Si,6,3,0,0,0,0,0,0,3,Cliente Leal,Si
Si,5,3,0,1,0,0,1,0,0,Cliente Leal,Si
No,7,1,0,2,0,2,2,0,0,Cliente Objetivo,Si
No,14,3,0,5,1,2,0,0,3,Cliente Leal,No
No,15,6,1,1,1,1,1,1,1,Cliente Leal,No
No,9,0,0,0,0,1,1,0,4,Cliente Objetivo,Si
Si,63,9,6,6,0,1,6,0,21,Cliente No Segmentado,Si
No,23,2,0,6,1,3,5,0,6,Cliente Objetivo,No
No,19,3,2,5,0,0,4,0,5,Cliente No Segmentado,Si
Si,14,4,2,2,0,2,0,0,4,Cliente No Segmentado,Si
No,3,0,0,0,0,1,0,0,2,Cliente Objetivo,Si
No,5,1,0,1,0,0,3,0,0,Cliente Objetivo,Si
No,6,2,0,1,0,0,3,0,0,Cliente Objetivo,Si
No,10,5,0,1,0,1,1,0,2,Cliente Leal,Si
No,8,2,0,1,0,1,1,0,3,Cliente Objetivo,Si
No,25,8,0,4,0,1,6,0,3,Cliente Leal,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,9,2,0,0,0,0,3,0,1,Cliente Objetivo,Si
No,9,0,0,0,1,4,0,0,4,Cliente Objetivo,No
No,8,2,0,0,1,1,1,1,1,Cliente Objetivo,No
Si,5,1,2,0,0,0,0,0,2,Cliente Objetivo,Si
No,13,2,5,2,0,0,0,0,3,Cliente No Segmentado,Si
Si,15,6,4,1,0,0,0,0,4,Cliente No Segmentado,Si
No,1,0,0,0,0,1,0,0,0,Cliente Objetivo,Si
No,18,4,3,2,1,1,4,1,1,Cliente No Segmentado,No
No,13,0,0,3,0,0,0,0,1,Cliente Objetivo,Si
No,16,0,0,4,0,4,7,0,1,Cliente Objetivo,Si
No,8,2,0,1,0,1,1,0,2,Cliente Objetivo,Si
Si,10,5,0,0,0,0,2,0,2,Cliente Leal,Si
Si,4,1,0,0,0,1,1,0,0,Cliente Objetivo,Si
No,8,1,0,0,0,2,0,1,3,Cliente Objetivo,Si
No,10,0,0,0,1,1,1,0,2,Cliente Objetivo,No
No,3,0,0,3,0,0,0,0,0,Cliente Objetivo,Si
Si,3,1,0,1,0,0,0,0,1,Cliente Objetivo,Si
No,9,0,0,1,0,1,1,1,5,Cliente Objetivo,Si
No,5,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
Si,5,0,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,17,4,5,0,1,1,0,1,2,Cliente No Segmentado,No
Si,10,4,0,1,0,0,1,0,2,Cliente Leal,Si
No,5,0,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,11,6,0,0,0,0,0,0,4,Cliente Leal,Si
Si,3,1,0,0,0,0,1,0,1,Cliente Objetivo,Si
Si,15,1,2,3,0,2,4,0,3,Cliente Objetivo,Si
No,14,2,0,3,0,0,2,0,4,Cliente Objetivo,Si
No,5,1,0,1,0,2,1,0,0,Cliente Objetivo,Si
Si,5,0,0,0,0,0,1,0,2,Cliente Objetivo,Si
Si,21,7,6,0,0,0,2,0,6,Cliente No Segmentado,Si
Si,8,3,0,2,0,0,2,0,1,Cliente Leal,Si
No,6,0,0,1,0,0,1,0,2,Cliente Objetivo,Si
No,9,5,0,0,0,1,1,0,0,Cliente Leal,Si
No,32,7,4,1,0,3,1,1,11,Cliente No Segmentado,Si
Si,12,5,0,3,0,0,3,0,0,Cliente Leal,Si
No,5,0,0,2,0,1,0,0,2,Cliente Objetivo,Si
No,13,5,0,2,1,1,1,1,1,Cliente Leal,No
Si,4,1,0,1,0,0,0,0,2,Cliente Objetivo,Si
No,5,1,0,1,0,1,0,0,2,Cliente Objetivo,Si
No,10,2,0,0,0,0,1,0,5,Cliente Objetivo,Si
No,14,2,0,1,0,1,1,0,1,Cliente Objetivo,Si
No,5,0,0,3,0,1,0,0,1,Cliente Objetivo,Si
No,13,3,0,1,0,1,1,0,3,Cliente Leal,Si
No,5,0,0,0,0,1,1,0,3,Cliente Objetivo,Si
No,9,0,0,1,0,1,0,0,3,Cliente Objetivo,Si
No,7,2,0,0,1,1,1,1,1,Cliente Objetivo,Si
No,32,4,0,0,0,0,4,0,13,Cliente Leal,Si
No,4,0,0,2,0,0,0,0,2,Cliente Objetivo,Si
Si,5,1,0,0,0,0,1,0,1,Cliente Objetivo,Si
Si,21,6,2,4,0,4,0,0,5,Cliente No Segmentado,Si
No,14,6,0,0,0,2,0,2,4,Cliente Leal,Si
No,4,0,0,1,0,1,1,0,1,Cliente Objetivo,Si
No,11,6,0,0,0,1,2,0,1,Cliente Leal,Si
No,10,1,0,0,0,1,4,0,3,Cliente Objetivo,Si
No,12,6,0,0,1,1,1,1,1,Cliente Leal,No
No,2,0,0,1,0,0,1,0,0,Cliente Objetivo,Si
No,7,1,0,1,0,1,2,0,2,Cliente Objetivo,Si
No,21,8,5,2,0,2,0,0,3,Cliente No Segmentado,Si
No,4,0,0,1,0,1,2,0,0,Cliente Objetivo,Si
No,6,1,0,1,0,1,1,0,2,Cliente Objetivo,Si
No,15,1,0,1,1,1,0,0,8,Cliente Objetivo,No
No,4,0,0,2,1,0,1,0,0,Cliente Objetivo,No
No,12,0,0,1,0,0,4,0,5,Cliente Objetivo,Si
